ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
C25	29.97614	8.537063	16.430735	39.098221	37.376665	20.337249	17.439257	29.1317	30.752302	15.422027	29.152352	51.58807	6.109064	9.164769	15.139711
C39	256.045723	406.643746	341.829376	21.440795	19.446144	28.285416	0.327379	0.167125	1.062197	9.234518	12.323007	8.440194	6.910609	12.76301	14.529683
C40	300.371303	317.529541	286.190937	172.667835	157.883967	100.725742	69.656639	122.98775	122.115765	47.592464	76.202591	89.554191	20.489371	19.183358	44.497722
C56	31.948468	3.611237	5.184939	16.42238	4.669041	3.357799	0.762916	1.12916	0.547113	27.815	26.304412	38.705942	119.418473	136.212451	118.683002
C59	0.055	0.188424	0.096352	5.3938	0.863003	0.405267	1.05106	2.59542	7.0302	7.62543	10.3887	7.43037	4.920488	8.183861	8.855158
C60	0	0	0	0	0	0	0.108885	0.262161	0	0.677218	0.083361	0.607675	0.039351	0.08468	0.188658
C60A	90.559921	131.63021	116.860227	7.38945	6.633293	14.576336	0	0.401032	0	0	0	0	0	0	0
C69	0.167093	0.047385	0.046461	0.39291	0.338436	0.14987	0.393894	0.326678	0.772536	3.287205	2.174949	2.99203	1.470999	0.990455	2.967268
C82A	651.502378	563.978829	502.473253	925.660185	730.20771	892.181327	973.646698	1310.254813	868.494403	951.469773	416.847404	460.458569	680.739527	577.112499	496.446083
C82B	75.67565	21.024003	27.416496	162.676655	121.00211	130.764671	159.278313	329.479283	212.125738	241.417075	160.184746	126.556941	239.217617	214.533475	203.673309
C83	0	0	0.019992	0	0	0	0	0	0	0.452505	0.524872	1.36393	0.244901	0.30145	0.210491
C93	12.703355	1.820788	5.37948	23.740799	14.840783	3.685183	35.742791	218.68671	115.836562	246.45782	178.558664	96.237496	301.022562	223.802042	201.515388
C95	0	0	0	0.287746	0.277333	0.54874	0.073304	0	0	0.112951	0.401007	0.103796	0	0	0
G04	101.002426	27.39955	49.85833	137.391199	153.461113	105.628848	147.264249	161.076521	149.878936	131.032299	118.167963	100.508046	36.834092	20.594371	21.969851
I04	0	0	0.01003	0.105009	0.026475	0	0.398857	0.355755	0.558289	0.455786	2.16115	6.282747	9.32816	11.1659	21.185225
I25A	0	0	0	0	0	0	0	0	0	3.10408	0.873686	27.4446	0.74354	1.86291	1.67473
I39	584.155637	144.422768	263.754345	662.322395	578.185214	326.027531	313.119983	452.606713	501.927608	479.195929	724.443896	736.896428	241.02078	155.04298	289.251288
I51	0	0	0	0	0	0	0	0	0	12.5647	3.805714	58.828593	12.768195	24.146419	37.367894
I78	0	0	0	0	0	0	0	0	0	6.0847	1.86849	8.93549	1.311979	1.841594	1.77802
I87	47.049886	15.429066	26.750451	61.978791	66.4085	29.41765	30.590297	46.6853	56.637572	34.285213	32.407356	60.231056	24.886022	8.886326	21.812932
M01	222.555454	53.981615	100.240548	251.101763	215.463277	112.381864	106.851697	171.244538	180.985612	100.600695	162.215389	182.848482	150.220392	152.226676	163.926301
M02	0.145715	0.066652	0.078989	0.353529	0.25586	0.146674	1.102473	1.66349	1.41183	8.99064	3.700313	12.494044	6.960104	6.928494	14.397871
M03A	0	0.007619	0.031284	0.343977	0.809531	1.126107	3.579354	1.396179	2.114837	51.012436	59.207509	23.263763	23.385454	6.129192	11.160951
M04	0	0	0.00453	0	0	0	0.501276	0.190673	0.131933	0.803686	0.865936	10.020474	4.237797	4.591811	9.401462
